FPR,TPR,AUC
0.0,0.0,0.9498734999999999
0.0,0.023,0.9498734999999999
0.00025,0.042,0.9498734999999999
0.00025,0.058,0.9498734999999999
0.00025,0.065,0.9498734999999999
0.00025,0.077,0.9498734999999999
0.0005,0.082,0.9498734999999999
0.0005,0.089,0.9498734999999999
0.0005,0.097,0.9498734999999999
0.0005,0.101,0.9498734999999999
0.0005,0.106,0.9498734999999999
0.0005,0.108,0.9498734999999999
0.0005,0.112,0.9498734999999999
0.0005,0.117,0.9498734999999999
0.0005,0.118,0.9498734999999999
0.00075,0.121,0.9498734999999999
0.00075,0.123,0.9498734999999999
0.00075,0.126,0.9498734999999999
0.00075,0.128,0.9498734999999999
0.001,0.131,0.9498734999999999
0.00125,0.135,0.9498734999999999
0.00125,0.139,0.9498734999999999
0.00125,0.142,0.9498734999999999
0.00125,0.143,0.9498734999999999
0.00125,0.145,0.9498734999999999
0.00125,0.148,0.9498734999999999
0.0015,0.149,0.9498734999999999
0.0015,0.151,0.9498734999999999
0.0015,0.155,0.9498734999999999
0.0015,0.157,0.9498734999999999
0.0015,0.161,0.9498734999999999
0.0015,0.166,0.9498734999999999
0.0015,0.17,0.9498734999999999
0.0015,0.173,0.9498734999999999
0.0015,0.181,0.9498734999999999
0.00175,0.181,0.9498734999999999
0.00175,0.182,0.9498734999999999
0.00175,0.186,0.9498734999999999
0.00175,0.188,0.9498734999999999
0.00175,0.192,0.9498734999999999
0.00175,0.195,0.9498734999999999
0.00175,0.197,0.9498734999999999
0.00175,0.202,0.9498734999999999
0.00175,0.204,0.9498734999999999
0.00175,0.21,0.9498734999999999
0.00175,0.212,0.9498734999999999
0.00175,0.216,0.9498734999999999
0.00175,0.218,0.9498734999999999
0.00175,0.226,0.9498734999999999
0.00175,0.228,0.9498734999999999
0.002,0.228,0.9498734999999999
0.002,0.231,0.9498734999999999
0.00225,0.231,0.9498734999999999
0.00225,0.236,0.9498734999999999
0.00225,0.238,0.9498734999999999
0.00225,0.244,0.9498734999999999
0.0025,0.245,0.9498734999999999
0.0025,0.247,0.9498734999999999
0.00275,0.248,0.9498734999999999
0.003,0.248,0.9498734999999999
0.003,0.251,0.9498734999999999
0.003,0.253,0.9498734999999999
0.003,0.258,0.9498734999999999
0.00325,0.258,0.9498734999999999
0.00325,0.265,0.9498734999999999
0.00375,0.266,0.9498734999999999
0.00375,0.267,0.9498734999999999
0.004,0.267,0.9498734999999999
0.004,0.27,0.9498734999999999
0.00425,0.27,0.9498734999999999
0.00425,0.274,0.9498734999999999
0.00425,0.276,0.9498734999999999
0.00425,0.285,0.9498734999999999
0.0045,0.285,0.9498734999999999
0.0045,0.287,0.9498734999999999
0.00475,0.288,0.9498734999999999
0.00475,0.289,0.9498734999999999
0.005,0.289,0.9498734999999999
0.005,0.302,0.9498734999999999
0.005,0.304,0.9498734999999999
0.005,0.307,0.9498734999999999
0.00525,0.307,0.9498734999999999
0.00525,0.335,0.9498734999999999
0.0055,0.335,0.9498734999999999
0.0055,0.345,0.9498734999999999
0.00575,0.345,0.9498734999999999
0.00575,0.349,0.9498734999999999
0.00575,0.351,0.9498734999999999
0.00575,0.352,0.9498734999999999
