FPR,TPR,AUC
0.0,0.0,0.88343025
0.0,0.001,0.88343025
0.0,0.094,0.88343025
0.00025,0.094,0.88343025
0.00025,0.11,0.88343025
0.0005,0.11,0.88343025
0.0005,0.114,0.88343025
0.00075,0.114,0.88343025
0.00075,0.129,0.88343025
0.001,0.129,0.88343025
0.001,0.13,0.88343025
0.00125,0.13,0.88343025
0.00125,0.147,0.88343025
0.0015,0.147,0.88343025
0.0015,0.157,0.88343025
0.00175,0.157,0.88343025
0.00175,0.158,0.88343025
0.002,0.158,0.88343025
0.002,0.159,0.88343025
0.00225,0.159,0.88343025
0.00225,0.16,0.88343025
0.0025,0.16,0.88343025
0.0025,0.169,0.88343025
0.003,0.169,0.88343025
0.003,0.17,0.88343025
0.00325,0.17,0.88343025
0.00325,0.178,0.88343025
0.004,0.178,0.88343025
0.004,0.181,0.88343025
0.00425,0.181,0.88343025
0.00425,0.185,0.88343025
0.0045,0.185,0.88343025
0.0045,0.186,0.88343025
0.00475,0.186,0.88343025
0.00475,0.19,0.88343025
0.005,0.19,0.88343025
0.005,0.191,0.88343025
0.0055,0.191,0.88343025
0.0055,0.194,0.88343025
0.006,0.194,0.88343025
0.006,0.205,0.88343025
0.00625,0.205,0.88343025
0.00625,0.206,0.88343025
0.00675,0.206,0.88343025
0.00675,0.209,0.88343025
0.007,0.209,0.88343025
0.007,0.211,0.88343025
0.0075,0.211,0.88343025
0.0075,0.221,0.88343025
0.008,0.221,0.88343025
0.008,0.224,0.88343025
0.00825,0.224,0.88343025
0.00825,0.228,0.88343025
0.00875,0.228,0.88343025
0.00875,0.23,0.88343025
0.009,0.23,0.88343025
0.009,0.237,0.88343025
0.00925,0.237,0.88343025
0.00925,0.242,0.88343025
0.0095,0.242,0.88343025
0.0095,0.245,0.88343025
0.00975,0.245,0.88343025
0.00975,0.247,0.88343025
0.01025,0.247,0.88343025
0.01025,0.248,0.88343025
0.011,0.248,0.88343025
0.011,0.251,0.88343025
0.01125,0.251,0.88343025
0.01125,0.255,0.88343025
0.0115,0.255,0.88343025
0.0115,0.26,0.88343025
0.01175,0.26,0.88343025
0.01175,0.261,0.88343025
0.012,0.261,0.88343025
0.012,0.264,0.88343025
0.01225,0.264,0.88343025
0.01225,0.265,0.88343025
0.0125,0.265,0.88343025
0.0125,0.266,0.88343025
0.01275,0.266,0.88343025
0.01275,0.27,0.88343025
0.013,0.27,0.88343025
0.013,0.271,0.88343025
0.0135,0.271,0.88343025
0.0135,0.272,0.88343025
0.01375,0.272,0.88343025
0.01375,0.275,0.88343025
0.01425,0.275,0.88343025
0.01425,0.277,0.88343025
0.015,0.277,0.88343025
0.015,0.279,0.88343025
0.01575,0.279,0.88343025
0.01575,0.283,0.88343025
0.016,0.283,0.88343025
0.016,0.285,0.88343025
0.0165,0.285,0.88343025
0.0165,0.286,0.88343025
0.01675,0.286,0.88343025
0.01675,0.292,0.88343025
0.017,0.292,0.88343025
0.017,0.294,0.88343025
0.01725,0.294,0.88343025
0.01725,0.296,0.88343025
0.01775,0.296,0.88343025
0.01775,0.304,0.88343025
0.01825,0.304,0.88343025
0.01825,0.306,0.88343025
0.01875,0.306,0.88343025
0.01875,0.307,0.88343025
0.01925,0.307,0.88343025
0.01925,0.32,0.88343025
0.02,0.32,0.88343025
0.02,0.321,0.88343025
0.02025,0.321,0.88343025
0.02025,0.322,0.88343025
0.0205,0.322,0.88343025
0.0205,0.323,0.88343025
0.02075,0.323,0.88343025
0.02075,0.324,0.88343025
0.0215,0.324,0.88343025
0.0215,0.326,0.88343025
0.022,0.326,0.88343025
0.022,0.327,0.88343025
0.02225,0.327,0.88343025
0.02225,0.332,0.88343025
0.02275,0.332,0.88343025
0.02275,0.333,0.88343025
0.023,0.333,0.88343025
0.023,0.334,0.88343025
0.02325,0.334,0.88343025
0.02325,0.336,0.88343025
0.024,0.336,0.88343025
0.024,0.337,0.88343025
0.0245,0.337,0.88343025
0.0245,0.339,0.88343025
0.02475,0.339,0.88343025
