FPR,TPR,AUC
0.0,0.0,0.999180875
0.00025,0.542,0.999180875
0.00025,0.612,0.999180875
0.00025,0.652,0.999180875
0.00025,0.67,0.999180875
0.00025,0.69,0.999180875
0.0005,0.706,0.999180875
0.0005,0.714,0.999180875
0.0005,0.721,0.999180875
0.0005,0.729,0.999180875
0.0005,0.734,0.999180875
0.0005,0.744,0.999180875
0.0005,0.749,0.999180875
0.0005,0.751,0.999180875
0.00075,0.753,0.999180875
0.00075,0.756,0.999180875
0.00075,0.76,0.999180875
0.00075,0.762,0.999180875
0.00075,0.77,0.999180875
0.001,0.775,0.999180875
0.001,0.777,0.999180875
0.001,0.78,0.999180875
0.001,0.781,0.999180875
0.001,0.783,0.999180875
0.001,0.788,0.999180875
0.001,0.789,0.999180875
0.001,0.792,0.999180875
0.001,0.796,0.999180875
0.001,0.799,0.999180875
0.001,0.802,0.999180875
0.001,0.803,0.999180875
0.001,0.809,0.999180875
0.001,0.812,0.999180875
0.001,0.814,0.999180875
0.001,0.818,0.999180875
0.001,0.824,0.999180875
0.001,0.827,0.999180875
0.001,0.837,0.999180875
0.001,0.839,0.999180875
0.001,0.842,0.999180875
0.001,0.844,0.999180875
0.001,0.859,0.999180875
0.001,0.861,0.999180875
0.001,0.867,0.999180875
0.001,0.869,0.999180875
0.001,0.882,0.999180875
0.00125,0.882,0.999180875
0.00125,0.884,0.999180875
0.00125,0.886,0.999180875
0.00125,0.887,0.999180875
0.00125,0.891,0.999180875
0.00125,0.897,0.999180875
0.00125,0.899,0.999180875
0.0015,0.899,0.999180875
0.0015,0.913,0.999180875
0.00175,0.913,0.999180875
0.00175,0.927,0.999180875
0.002,0.927,0.999180875
0.002,0.931,0.999180875
0.0025,0.931,0.999180875
0.0025,0.94,0.999180875
0.00275,0.94,0.999180875
0.00275,0.941,0.999180875
0.00325,0.941,0.999180875
0.00325,0.951,0.999180875
0.0035,0.951,0.999180875
0.0035,0.961,0.999180875
0.00375,0.961,0.999180875
0.00375,0.965,0.999180875
0.004,0.965,0.999180875
0.004,0.966,0.999180875
0.00425,0.966,0.999180875
0.00425,0.969,0.999180875
0.0045,0.969,0.999180875
0.0045,0.972,0.999180875
0.00475,0.972,0.999180875
0.00475,0.978,0.999180875
0.005,0.978,0.999180875
0.005,0.979,0.999180875
0.0055,0.979,0.999180875
0.0055,0.98,0.999180875
0.00575,0.98,0.999180875
0.00575,0.981,0.999180875
0.006,0.981,0.999180875
0.006,0.983,0.999180875
0.0065,0.983,0.999180875
0.0065,0.985,0.999180875
0.00675,0.985,0.999180875
0.00675,0.986,0.999180875
0.00725,0.986,0.999180875
0.00725,0.987,0.999180875
0.0075,0.987,0.999180875
0.0075,0.988,0.999180875
0.00775,0.988,0.999180875
0.00775,0.99,0.999180875
0.0095,0.99,0.999180875
0.0095,0.991,0.999180875
0.01075,0.991,0.999180875
0.01075,0.992,0.999180875
0.011,0.992,0.999180875
0.011,0.994,0.999180875
0.01175,0.994,0.999180875
0.01175,0.995,0.999180875
0.0125,0.995,0.999180875
0.0125,0.996,0.999180875
0.0185,0.996,0.999180875
0.0185,0.997,0.999180875
0.0215,0.997,0.999180875
0.0215,0.998,0.999180875
0.02475,0.998,0.999180875
0.02475,0.999,0.999180875
0.10975,0.999,0.999180875
0.10975,1.0,0.999180875
0.9885,1.0,0.999180875
1.0,1.0,0.999180875
