FPR,TPR,AUC
0.0,0.0,0.72711525
0.0,0.001,0.72711525
0.0,0.005,0.72711525
0.00025,0.005,0.72711525
0.00025,0.01,0.72711525
0.0005,0.01,0.72711525
0.0005,0.014,0.72711525
0.001,0.014,0.72711525
0.001,0.016,0.72711525
0.00125,0.016,0.72711525
0.00125,0.018,0.72711525
0.0015,0.018,0.72711525
0.0015,0.021,0.72711525
0.00175,0.021,0.72711525
0.00175,0.022,0.72711525
0.002,0.022,0.72711525
0.002,0.023,0.72711525
0.00225,0.023,0.72711525
0.00225,0.024,0.72711525
0.0025,0.024,0.72711525
0.0025,0.025,0.72711525
0.00275,0.025,0.72711525
0.00275,0.027,0.72711525
0.003,0.027,0.72711525
0.003,0.033,0.72711525
0.0035,0.033,0.72711525
0.0035,0.035,0.72711525
0.00375,0.035,0.72711525
0.00375,0.036,0.72711525
0.004,0.036,0.72711525
0.004,0.037,0.72711525
0.0045,0.037,0.72711525
0.0045,0.038,0.72711525
0.0055,0.038,0.72711525
0.0055,0.04,0.72711525
0.00575,0.04,0.72711525
0.00575,0.041,0.72711525
0.00625,0.041,0.72711525
0.00625,0.042,0.72711525
0.007,0.042,0.72711525
0.007,0.044,0.72711525
0.00725,0.044,0.72711525
0.00725,0.045,0.72711525
0.0075,0.045,0.72711525
0.0075,0.046,0.72711525
0.00775,0.046,0.72711525
0.00775,0.047,0.72711525
0.008,0.047,0.72711525
0.008,0.048,0.72711525
0.0085,0.048,0.72711525
0.0085,0.049,0.72711525
0.00975,0.049,0.72711525
0.00975,0.051,0.72711525
0.0105,0.051,0.72711525
0.0105,0.052,0.72711525
0.01075,0.052,0.72711525
0.01075,0.053,0.72711525
0.0115,0.053,0.72711525
0.0115,0.054,0.72711525
0.012,0.054,0.72711525
0.012,0.055,0.72711525
0.01225,0.055,0.72711525
0.01225,0.056,0.72711525
0.0135,0.056,0.72711525
0.0135,0.061,0.72711525
0.01375,0.061,0.72711525
0.01375,0.063,0.72711525
0.01425,0.063,0.72711525
0.01425,0.065,0.72711525
0.0155,0.065,0.72711525
0.0155,0.068,0.72711525
0.01575,0.068,0.72711525
0.01575,0.07,0.72711525
0.01725,0.07,0.72711525
0.01725,0.071,0.72711525
0.0175,0.071,0.72711525
0.0175,0.072,0.72711525
0.018,0.072,0.72711525
0.018,0.073,0.72711525
0.01875,0.073,0.72711525
0.01875,0.075,0.72711525
0.0195,0.075,0.72711525
0.0195,0.077,0.72711525
0.01975,0.077,0.72711525
0.01975,0.078,0.72711525
0.02,0.078,0.72711525
0.02,0.08,0.72711525
0.0215,0.08,0.72711525
0.0215,0.081,0.72711525
0.02175,0.081,0.72711525
0.02175,0.083,0.72711525
0.022,0.083,0.72711525
0.022,0.084,0.72711525
0.02275,0.084,0.72711525
0.02275,0.086,0.72711525
0.02325,0.086,0.72711525
0.02325,0.088,0.72711525
0.02375,0.088,0.72711525
0.02375,0.089,0.72711525
0.02525,0.089,0.72711525
0.02525,0.091,0.72711525
0.0275,0.091,0.72711525
0.0275,0.092,0.72711525
0.02775,0.092,0.72711525
0.02775,0.093,0.72711525
0.02875,0.093,0.72711525
0.02875,0.095,0.72711525
0.02925,0.095,0.72711525
0.02925,0.099,0.72711525
0.02975,0.099,0.72711525
0.02975,0.1,0.72711525
0.03025,0.1,0.72711525
0.03025,0.102,0.72711525
0.03075,0.102,0.72711525
0.03075,0.103,0.72711525
0.03125,0.103,0.72711525
0.03125,0.105,0.72711525
0.03175,0.105,0.72711525
0.03175,0.106,0.72711525
0.03225,0.106,0.72711525
0.03225,0.107,0.72711525
0.0325,0.107,0.72711525
0.0325,0.108,0.72711525
0.03275,0.108,0.72711525
0.03275,0.11,0.72711525
0.033,0.11,0.72711525
0.033,0.114,0.72711525
0.03325,0.114,0.72711525
0.03325,0.117,0.72711525
0.0335,0.117,0.72711525
0.0335,0.119,0.72711525
0.03375,0.119,0.72711525
0.03375,0.122,0.72711525
0.034,0.122,0.72711525
0.034,0.123,0.72711525
0.036,0.123,0.72711525
0.036,0.126,0.72711525
0.03625,0.126,0.72711525
0.03625,0.127,0.72711525
0.0365,0.127,0.72711525
0.0365,0.129,0.72711525
0.038,0.129,0.72711525
0.038,0.131,0.72711525
0.039,0.131,0.72711525
0.039,0.132,0.72711525
0.03925,0.132,0.72711525
0.03925,0.133,0.72711525
0.0395,0.133,0.72711525
0.0395,0.134,0.72711525
0.03975,0.134,0.72711525
0.03975,0.136,0.72711525
0.04025,0.136,0.72711525
0.04025,0.137,0.72711525
0.04125,0.137,0.72711525
0.04125,0.139,0.72711525
0.0415,0.139,0.72711525
0.0415,0.143,0.72711525
0.04175,0.143,0.72711525
0.04175,0.145,0.72711525
0.043,0.145,0.72711525
0.043,0.146,0.72711525
0.04375,0.146,0.72711525
0.04375,0.147,0.72711525
0.04425,0.147,0.72711525
0.04425,0.149,0.72711525
0.0445,0.149,0.72711525
0.0445,0.15,0.72711525
0.04525,0.15,0.72711525
0.04525,0.151,0.72711525
0.0455,0.151,0.72711525
0.0455,0.152,0.72711525
0.04575,0.152,0.72711525
0.04575,0.153,0.72711525
0.046,0.153,0.72711525
0.046,0.154,0.72711525
0.047,0.154,0.72711525
0.047,0.155,0.72711525
0.04725,0.155,0.72711525
0.04725,0.157,0.72711525
0.0475,0.157,0.72711525
0.0475,0.158,0.72711525
0.0485,0.158,0.72711525
0.0485,0.16,0.72711525
0.04875,0.16,0.72711525
