FPR,TPR,AUC
0.0,0.0,0.6257579999999999
0.0,0.002,0.6257579999999999
0.0,0.009,0.6257579999999999
0.00025,0.009,0.6257579999999999
0.00025,0.013,0.6257579999999999
0.0005,0.013,0.6257579999999999
0.0005,0.016,0.6257579999999999
0.001,0.016,0.6257579999999999
0.001,0.017,0.6257579999999999
0.00125,0.017,0.6257579999999999
0.00125,0.02,0.6257579999999999
0.0015,0.02,0.6257579999999999
0.0015,0.023,0.6257579999999999
0.00175,0.023,0.6257579999999999
0.00175,0.03,0.6257579999999999
0.00225,0.03,0.6257579999999999
0.00225,0.031,0.6257579999999999
0.0025,0.031,0.6257579999999999
0.0025,0.033,0.6257579999999999
0.00275,0.033,0.6257579999999999
0.00275,0.036,0.6257579999999999
0.00375,0.036,0.6257579999999999
0.00375,0.039,0.6257579999999999
0.00425,0.039,0.6257579999999999
0.00425,0.04,0.6257579999999999
0.0045,0.04,0.6257579999999999
0.0045,0.042,0.6257579999999999
0.00525,0.042,0.6257579999999999
0.00525,0.044,0.6257579999999999
0.00625,0.044,0.6257579999999999
0.00625,0.045,0.6257579999999999
0.007,0.045,0.6257579999999999
0.007,0.047,0.6257579999999999
0.0075,0.047,0.6257579999999999
0.0075,0.051,0.6257579999999999
0.00825,0.051,0.6257579999999999
0.00825,0.053,0.6257579999999999
0.00875,0.053,0.6257579999999999
0.00875,0.054,0.6257579999999999
0.01,0.054,0.6257579999999999
0.01,0.058,0.6257579999999999
0.01025,0.058,0.6257579999999999
0.01025,0.061,0.6257579999999999
0.0105,0.061,0.6257579999999999
0.0105,0.062,0.6257579999999999
0.01125,0.062,0.6257579999999999
0.01125,0.063,0.6257579999999999
0.0115,0.063,0.6257579999999999
0.0115,0.064,0.6257579999999999
0.012,0.064,0.6257579999999999
0.012,0.065,0.6257579999999999
0.01225,0.065,0.6257579999999999
0.01225,0.066,0.6257579999999999
0.0125,0.066,0.6257579999999999
0.0125,0.067,0.6257579999999999
0.01275,0.067,0.6257579999999999
0.01275,0.069,0.6257579999999999
0.014,0.069,0.6257579999999999
0.014,0.071,0.6257579999999999
0.0155,0.071,0.6257579999999999
0.0155,0.074,0.6257579999999999
0.016,0.074,0.6257579999999999
0.016,0.077,0.6257579999999999
0.01625,0.077,0.6257579999999999
0.01625,0.081,0.6257579999999999
0.0165,0.081,0.6257579999999999
0.0165,0.083,0.6257579999999999
0.01725,0.083,0.6257579999999999
0.01725,0.085,0.6257579999999999
0.01775,0.085,0.6257579999999999
0.01775,0.088,0.6257579999999999
0.0185,0.088,0.6257579999999999
0.0185,0.089,0.6257579999999999
0.01875,0.089,0.6257579999999999
0.01875,0.091,0.6257579999999999
0.019,0.091,0.6257579999999999
0.019,0.094,0.6257579999999999
0.01925,0.094,0.6257579999999999
