FPR,TPR,AUC
0.0,0.0,0.9639795
0.0,0.023,0.9639795
0.0,0.033,0.9639795
0.0,0.041,0.9639795
0.0,0.047,0.9639795
0.0,0.048,0.9639795
0.0,0.051,0.9639795
0.0,0.052,0.9639795
0.0,0.054,0.9639795
0.0,0.056,0.9639795
0.0,0.059,0.9639795
0.0,0.062,0.9639795
0.0,0.068,0.9639795
0.0,0.07,0.9639795
0.0,0.074,0.9639795
0.0,0.076,0.9639795
0.0,0.079,0.9639795
0.0,0.08,0.9639795
0.0,0.082,0.9639795
0.0,0.097,0.9639795
0.0,0.1,0.9639795
0.0,0.101,0.9639795
0.0,0.103,0.9639795
0.0,0.199,0.9639795
0.0,0.201,0.9639795
0.0,0.414,0.9639795
0.00025,0.414,0.9639795
0.00025,0.448,0.9639795
0.0005,0.448,0.9639795
0.0005,0.459,0.9639795
0.00075,0.459,0.9639795
0.00075,0.469,0.9639795
0.001,0.469,0.9639795
0.001,0.507,0.9639795
0.00125,0.507,0.9639795
0.00125,0.519,0.9639795
0.0015,0.519,0.9639795
0.0015,0.53,0.9639795
0.00175,0.53,0.9639795
0.00175,0.545,0.9639795
0.002,0.545,0.9639795
0.002,0.546,0.9639795
0.00225,0.546,0.9639795
0.00225,0.551,0.9639795
0.0025,0.551,0.9639795
0.0025,0.552,0.9639795
0.00275,0.552,0.9639795
0.00275,0.581,0.9639795
0.003,0.581,0.9639795
0.003,0.591,0.9639795
0.00325,0.591,0.9639795
0.00325,0.593,0.9639795
0.0035,0.593,0.9639795
0.0035,0.596,0.9639795
0.00375,0.596,0.9639795
0.00375,0.597,0.9639795
0.004,0.597,0.9639795
0.004,0.612,0.9639795
0.0045,0.612,0.9639795
0.0045,0.62,0.9639795
0.00475,0.62,0.9639795
0.00475,0.622,0.9639795
0.005,0.622,0.9639795
0.005,0.623,0.9639795
0.00525,0.623,0.9639795
0.00525,0.636,0.9639795
0.0055,0.636,0.9639795
0.0055,0.647,0.9639795
0.00575,0.647,0.9639795
0.00575,0.651,0.9639795
0.006,0.651,0.9639795
0.006,0.656,0.9639795
0.0065,0.656,0.9639795
0.0065,0.658,0.9639795
0.00675,0.658,0.9639795
0.00675,0.665,0.9639795
0.007,0.665,0.9639795
0.007,0.672,0.9639795
0.00725,0.672,0.9639795
0.00725,0.674,0.9639795
0.00775,0.674,0.9639795
0.00775,0.676,0.9639795
0.008,0.676,0.9639795
0.008,0.679,0.9639795
0.00825,0.679,0.9639795
0.00825,0.687,0.9639795
0.0085,0.687,0.9639795
0.0085,0.688,0.9639795
0.00925,0.688,0.9639795
0.00925,0.691,0.9639795
0.00975,0.691,0.9639795
0.00975,0.695,0.9639795
0.01025,0.695,0.9639795
0.01025,0.696,0.9639795
0.0105,0.696,0.9639795
0.0105,0.697,0.9639795
0.011,0.697,0.9639795
0.011,0.702,0.9639795
0.01125,0.702,0.9639795
0.01125,0.706,0.9639795
0.01175,0.706,0.9639795
0.01175,0.707,0.9639795
0.012,0.707,0.9639795
0.012,0.708,0.9639795
0.01225,0.708,0.9639795
0.01225,0.71,0.9639795
0.0125,0.71,0.9639795
0.0125,0.714,0.9639795
0.01275,0.714,0.9639795
0.01275,0.715,0.9639795
0.013,0.715,0.9639795
0.013,0.717,0.9639795
0.0135,0.717,0.9639795
0.0135,0.718,0.9639795
0.01375,0.718,0.9639795
0.01375,0.719,0.9639795
0.01475,0.719,0.9639795
0.01475,0.721,0.9639795
0.0155,0.721,0.9639795
0.0155,0.724,0.9639795
0.01575,0.724,0.9639795
0.01575,0.728,0.9639795
0.016,0.728,0.9639795
0.016,0.73,0.9639795
0.01675,0.73,0.9639795
0.01675,0.731,0.9639795
0.01725,0.731,0.9639795
0.01725,0.732,0.9639795
0.01775,0.732,0.9639795
0.01775,0.733,0.9639795
0.019,0.733,0.9639795
0.019,0.734,0.9639795
0.01925,0.734,0.9639795
0.01925,0.735,0.9639795
0.02025,0.735,0.9639795
0.02025,0.736,0.9639795
0.0205,0.736,0.9639795
0.0205,0.738,0.9639795
0.022,0.738,0.9639795
0.022,0.739,0.9639795
0.02225,0.739,0.9639795
0.02225,0.74,0.9639795
0.0225,0.74,0.9639795
0.0225,0.741,0.9639795
0.02375,0.741,0.9639795
0.02375,0.742,0.9639795
0.024,0.742,0.9639795
0.024,0.743,0.9639795
0.02475,0.743,0.9639795
0.02475,0.744,0.9639795
0.02525,0.744,0.9639795
0.02525,0.745,0.9639795
0.02675,0.745,0.9639795
0.02675,0.746,0.9639795
0.0275,0.746,0.9639795
0.0275,0.747,0.9639795
0.02775,0.747,0.9639795
0.02775,0.748,0.9639795
0.028,0.748,0.9639795
0.028,0.749,0.9639795
0.0285,0.749,0.9639795
0.0285,0.75,0.9639795
0.02875,0.75,0.9639795
0.02875,0.751,0.9639795
0.02975,0.751,0.9639795
0.02975,0.752,0.9639795
0.03,0.752,0.9639795
0.03,0.753,0.9639795
0.03025,0.753,0.9639795
0.03025,0.754,0.9639795
0.0315,0.754,0.9639795
0.0315,0.755,0.9639795
0.03175,0.755,0.9639795
0.03175,0.758,0.9639795
0.0325,0.758,0.9639795
0.0325,0.759,0.9639795
0.03325,0.759,0.9639795
0.03325,0.762,0.9639795
0.034,0.762,0.9639795
0.034,0.763,0.9639795
0.03475,0.763,0.9639795
0.03475,0.764,0.9639795
0.036,0.764,0.9639795
0.036,0.765,0.9639795
0.03625,0.765,0.9639795
0.03625,0.766,0.9639795
0.0375,0.766,0.9639795
0.0375,0.767,0.9639795
0.03775,0.767,0.9639795
0.03775,0.768,0.9639795
0.04,0.768,0.9639795
0.04,0.769,0.9639795
0.0415,0.769,0.9639795
0.0415,0.77,0.9639795
0.04175,0.77,0.9639795
0.04175,0.771,0.9639795
0.044,0.771,0.9639795
0.044,0.772,0.9639795
0.0445,0.772,0.9639795
0.0445,0.773,0.9639795
0.045,0.773,0.9639795
0.045,0.774,0.9639795
0.04575,0.774,0.9639795
0.04575,0.775,0.9639795
0.04675,0.775,0.9639795
0.04675,0.776,0.9639795
0.047,0.776,0.9639795
0.047,0.777,0.9639795
0.049,0.777,0.9639795
0.049,0.778,0.9639795
0.04975,0.778,0.9639795
0.04975,0.779,0.9639795
0.05025,0.779,0.9639795
0.05025,0.78,0.9639795
0.052,0.78,0.9639795
0.052,0.781,0.9639795
0.05275,0.781,0.9639795
0.05275,0.782,0.9639795
0.0535,0.782,0.9639795
0.0535,0.783,0.9639795
0.05475,0.783,0.9639795
0.05475,0.784,0.9639795
0.055,0.784,0.9639795
0.055,0.785,0.9639795
0.05775,0.785,0.9639795
0.05775,0.786,0.9639795
0.05925,0.786,0.9639795
0.05925,0.787,0.9639795
0.0595,0.787,0.9639795
0.0595,0.789,0.9639795
0.05975,0.789,0.9639795
0.05975,0.79,0.9639795
0.062,0.79,0.9639795
0.062,0.791,0.9639795
0.06225,0.791,0.9639795
0.06225,0.792,0.9639795
0.0625,0.792,0.9639795
0.0625,0.793,0.9639795
0.06275,0.793,0.9639795
0.06275,0.794,0.9639795
0.063,0.794,0.9639795
0.063,0.795,0.9639795
0.06325,0.795,0.9639795
0.06325,0.797,0.9639795
0.0645,0.797,0.9639795
0.0645,0.798,0.9639795
0.06575,0.798,0.9639795
0.06575,0.799,0.9639795
0.06725,0.799,0.9639795
0.06725,0.801,0.9639795
0.06825,0.801,0.9639795
0.06825,0.802,0.9639795
0.07,0.802,0.9639795
0.07,0.805,0.9639795
0.07025,0.805,0.9639795
0.07025,0.806,0.9639795
0.07125,0.806,0.9639795
0.07125,0.807,0.9639795
0.07175,0.807,0.9639795
0.07175,0.808,0.9639795
0.07275,0.808,0.9639795
0.07275,0.809,0.9639795
0.0765,0.809,0.9639795
0.0765,0.81,0.9639795
0.07675,0.81,0.9639795
0.07675,0.811,0.9639795
0.07725,0.811,0.9639795
0.07725,0.812,0.9639795
0.07825,0.812,0.9639795
0.07825,0.813,0.9639795
0.07875,0.813,0.9639795
0.07875,0.814,0.9639795
0.08025,0.814,0.9639795
0.08025,0.815,0.9639795
0.084,0.815,0.9639795
0.084,0.817,0.9639795
0.08425,0.817,0.9639795
0.08425,0.82,0.9639795
0.08525,0.82,0.9639795
0.08525,0.821,0.9639795
0.08575,0.821,0.9639795
0.08575,0.822,0.9639795
0.086,0.822,0.9639795
0.086,0.823,0.9639795
0.08625,0.823,0.9639795
0.08625,0.825,0.9639795
0.08675,0.825,0.9639795
0.08675,0.826,0.9639795
0.08825,0.826,0.9639795
0.08825,0.827,0.9639795
0.09075,0.827,0.9639795
0.09075,0.828,0.9639795
0.0915,0.828,0.9639795
0.0915,0.829,0.9639795
0.0935,0.829,0.9639795
0.0935,0.83,0.9639795
0.0945,0.83,0.9639795
0.0945,0.831,0.9639795
