FPR,TPR,AUC
0.0,0.0,0.993018625
0.00025,0.475,0.993018625
0.0005,0.503,0.993018625
0.0005,0.522,0.993018625
0.0005,0.53,0.993018625
0.0005,0.534,0.993018625
0.001,0.543,0.993018625
0.001,0.547,0.993018625
0.00125,0.55,0.993018625
0.0015,0.555,0.993018625
0.0015,0.559,0.993018625
0.0015,0.562,0.993018625
0.0015,0.564,0.993018625
0.0015,0.57,0.993018625
0.0015,0.574,0.993018625
0.0015,0.578,0.993018625
0.0015,0.581,0.993018625
0.0015,0.583,0.993018625
0.00175,0.583,0.993018625
0.00175,0.589,0.993018625
0.00175,0.592,0.993018625
0.00175,0.594,0.993018625
0.00175,0.599,0.993018625
0.00175,0.603,0.993018625
0.00175,0.607,0.993018625
0.002,0.607,0.993018625
0.002,0.612,0.993018625
0.002,0.614,0.993018625
0.002,0.618,0.993018625
0.002,0.62,0.993018625
0.002,0.622,0.993018625
0.00225,0.622,0.993018625
0.00225,0.624,0.993018625
0.00225,0.628,0.993018625
0.00225,0.63,0.993018625
0.00225,0.631,0.993018625
0.0025,0.631,0.993018625
0.0025,0.632,0.993018625
0.00275,0.632,0.993018625
0.00275,0.638,0.993018625
0.00275,0.64,0.993018625
0.00275,0.659,0.993018625
0.00325,0.659,0.993018625
0.00325,0.663,0.993018625
0.00325,0.665,0.993018625
0.00325,0.676,0.993018625
0.0035,0.676,0.993018625
0.0035,0.689,0.993018625
0.00375,0.689,0.993018625
0.00375,0.694,0.993018625
0.004,0.694,0.993018625
0.004,0.698,0.993018625
0.00425,0.698,0.993018625
0.00425,0.701,0.993018625
0.0045,0.701,0.993018625
0.0045,0.708,0.993018625
0.00475,0.708,0.993018625
0.00475,0.714,0.993018625
0.005,0.714,0.993018625
0.005,0.718,0.993018625
0.005,0.72,0.993018625
0.005,0.722,0.993018625
0.00525,0.722,0.993018625
0.00525,0.725,0.993018625
0.00575,0.725,0.993018625
0.00575,0.734,0.993018625
0.006,0.734,0.993018625
0.006,0.736,0.993018625
0.00625,0.736,0.993018625
0.00625,0.741,0.993018625
0.0065,0.741,0.993018625
0.0065,0.743,0.993018625
0.00675,0.743,0.993018625
0.00675,0.748,0.993018625
0.007,0.748,0.993018625
0.007,0.756,0.993018625
0.00725,0.756,0.993018625
0.00725,0.759,0.993018625
0.0075,0.759,0.993018625
0.0075,0.761,0.993018625
0.00775,0.761,0.993018625
0.00775,0.771,0.993018625
0.00825,0.771,0.993018625
0.00825,0.777,0.993018625
0.0085,0.777,0.993018625
0.0085,0.79,0.993018625
